indicator,territory,years,value,source
Gross electricity production - thermal power plants,Czechia,2014,50262.0,thermal
Gross electricity production - thermal power plants,Czechia,2015,51143.0,thermal
Gross electricity production - thermal power plants,Czechia,2010,53574.0,thermal
Gross electricity production - thermal power plants,Czechia,2011,53951.0,thermal
Gross electricity production - thermal power plants,Czechia,2012,51669.0,thermal
Gross electricity production - thermal power plants,Czechia,2013,50015.0,thermal
Gross electricity production - thermal power plants,Czechia,2016,53375.0,thermal
Gross electricity production - thermal power plants,Czechia,2021,47813.0,thermal
Gross electricity production - thermal power plants,Czechia,2022,47475.553,thermal
Gross electricity production - thermal power plants,Czechia,2017,52886.0,thermal
Gross electricity production - thermal power plants,Czechia,2018,52464.0,thermal
Gross electricity production - thermal power plants,Czechia,2019,50598.0,thermal
Gross electricity production - thermal power plants,Czechia,2020,45051.0,thermal
Gross electricity production - thermal power plants,Czechia,2023,39506.288,thermal
Gross electricity production - hydro power plants,Czechia,2010,3380.0,hydro
Gross electricity production - hydro power plants,Czechia,2011,2664.0,hydro
Gross electricity production - hydro power plants,Czechia,2014,2961.0,hydro
Gross electricity production - hydro power plants,Czechia,2015,3071.0,hydro
Gross electricity production - hydro power plants,Czechia,2012,2860.0,hydro
Gross electricity production - hydro power plants,Czechia,2013,3639.0,hydro
Gross electricity production - hydro power plants,Czechia,2016,3202.0,hydro
Gross electricity production - hydro power plants,Czechia,2017,3040.0,hydro
Gross electricity production - hydro power plants,Czechia,2018,2679.0,hydro
Gross electricity production - hydro power plants,Czechia,2019,3175.0,hydro
Gross electricity production - hydro power plants,Czechia,2020,3437.0,hydro
Gross electricity production - hydro power plants,Czechia,2021,3620.0,hydro
Gross electricity production - hydro power plants,Czechia,2022,3083.174,hydro
Gross electricity production - hydro power plants,Czechia,2023,3416.997,hydro
Gross electricity production - wind power plants,Czechia,2010,335.0,wind
Gross electricity production - wind power plants,Czechia,2011,397.0,wind
Gross electricity production - wind power plants,Czechia,2012,416.0,wind
Gross electricity production - wind power plants,Czechia,2013,481.0,wind
Gross electricity production - wind power plants,Czechia,2014,477.0,wind
Gross electricity production - wind power plants,Czechia,2016,497.0,wind
Gross electricity production - wind power plants,Czechia,2017,591.0,wind
Gross electricity production - wind power plants,Czechia,2015,573.0,wind
Gross electricity production - wind power plants,Czechia,2018,609.0,wind
Gross electricity production - wind power plants,Czechia,2019,700.0,wind
Gross electricity production - wind power plants,Czechia,2020,699.0,wind
Gross electricity production - wind power plants,Czechia,2021,602.0,wind
Gross electricity production - wind power plants,Czechia,2022,641.331,wind
Gross electricity production - wind power plants,Czechia,2023,701.606,wind
Gross electricity production - solar power plats,Czechia,2011,2182.0,solar
Gross electricity production - solar power plats,Czechia,2012,2149.0,solar
Gross electricity production - solar power plats,Czechia,2010,616.0,solar
Gross electricity production - solar power plats,Czechia,2013,2033.0,solar
Gross electricity production - solar power plats,Czechia,2015,2264.0,solar
Gross electricity production - solar power plats,Czechia,2016,2131.0,solar
Gross electricity production - solar power plats,Czechia,2014,2123.0,solar
Gross electricity production - solar power plats,Czechia,2017,2193.0,solar
Gross electricity production - solar power plats,Czechia,2018,2359.0,solar
Gross electricity production - solar power plats,Czechia,2020,2287.0,solar
Gross electricity production - solar power plats,Czechia,2019,2312.0,solar
Gross electricity production - solar power plats,Czechia,2021,2250.0,solar
Gross electricity production - solar power plats,Czechia,2022,2626.272,solar
Gross electricity production - solar power plats,Czechia,2023,3210.432,solar
Gross electricity production - nuclear power plants,Czechia,2010,27998.0,nuclear
Gross electricity production - nuclear power plants,Czechia,2011,28283.0,nuclear
Gross electricity production - nuclear power plants,Czechia,2013,30745.0,nuclear
Gross electricity production - nuclear power plants,Czechia,2014,30325.0,nuclear
Gross electricity production - nuclear power plants,Czechia,2012,30324.0,nuclear
Gross electricity production - nuclear power plants,Czechia,2015,26841.0,nuclear
Gross electricity production - nuclear power plants,Czechia,2018,29921.0,nuclear
Gross electricity production - nuclear power plants,Czechia,2016,24104.0,nuclear
Gross electricity production - nuclear power plants,Czechia,2017,28340.0,nuclear
Gross electricity production - nuclear power plants,Czechia,2019,30246.0,nuclear
Gross electricity production - nuclear power plants,Czechia,2020,30043.0,nuclear
Gross electricity production - nuclear power plants,Czechia,2021,30731.0,nuclear
Gross electricity production - nuclear power plants,Czechia,2022,31021.81,nuclear
Gross electricity production - nuclear power plants,Czechia,2023,30410.464,nuclear
