"Indicator","Territory","Years","Value"
"Gross electricity production - thermal power plants","Czechia","2014","50262"
"Gross electricity production - thermal power plants","Czechia","2015","51143"
"Gross electricity production - thermal power plants","Czechia","2010","53574"
"Gross electricity production - thermal power plants","Czechia","2011","53951"
"Gross electricity production - thermal power plants","Czechia","2012","51669"
"Gross electricity production - thermal power plants","Czechia","2013","50015"
"Gross electricity production - thermal power plants","Czechia","2016","53375"
"Gross electricity production - thermal power plants","Czechia","2021","47813"
"Gross electricity production - thermal power plants","Czechia","2022","47475.553"
"Gross electricity production - thermal power plants","Czechia","2017","52886"
"Gross electricity production - thermal power plants","Czechia","2018","52464"
"Gross electricity production - thermal power plants","Czechia","2019","50598"
"Gross electricity production - thermal power plants","Czechia","2020","45051"
"Gross electricity production - thermal power plants","Czechia","2023","39506.288"
"Gross electricity production - hydro power plants","Czechia","2010","3380"
"Gross electricity production - hydro power plants","Czechia","2011","2664"
"Gross electricity production - hydro power plants","Czechia","2014","2961"
"Gross electricity production - hydro power plants","Czechia","2015","3071"
"Gross electricity production - hydro power plants","Czechia","2012","2860"
"Gross electricity production - hydro power plants","Czechia","2013","3639"
"Gross electricity production - hydro power plants","Czechia","2016","3202"
"Gross electricity production - hydro power plants","Czechia","2017","3040"
"Gross electricity production - hydro power plants","Czechia","2018","2679"
"Gross electricity production - hydro power plants","Czechia","2019","3175"
"Gross electricity production - hydro power plants","Czechia","2020","3437"
"Gross electricity production - hydro power plants","Czechia","2021","3620"
"Gross electricity production - hydro power plants","Czechia","2022","3083.174"
"Gross electricity production - hydro power plants","Czechia","2023","3416.997"
"Gross electricity production - wind power plants","Czechia","2010","335"
"Gross electricity production - wind power plants","Czechia","2011","397"
"Gross electricity production - wind power plants","Czechia","2012","416"
"Gross electricity production - wind power plants","Czechia","2013","481"
"Gross electricity production - wind power plants","Czechia","2014","477"
"Gross electricity production - wind power plants","Czechia","2016","497"
"Gross electricity production - wind power plants","Czechia","2017","591"
"Gross electricity production - wind power plants","Czechia","2015","573"
"Gross electricity production - wind power plants","Czechia","2018","609"
"Gross electricity production - wind power plants","Czechia","2019","700"
"Gross electricity production - wind power plants","Czechia","2020","699"
"Gross electricity production - wind power plants","Czechia","2021","602"
"Gross electricity production - wind power plants","Czechia","2022","641.331"
"Gross electricity production - wind power plants","Czechia","2023","701.606"
"Gross electricity production - solar power plats","Czechia","2011","2182"
"Gross electricity production - solar power plats","Czechia","2012","2149"
"Gross electricity production - solar power plats","Czechia","2010","616"
"Gross electricity production - solar power plats","Czechia","2013","2033"
"Gross electricity production - solar power plats","Czechia","2015","2264"
"Gross electricity production - solar power plats","Czechia","2016","2131"
"Gross electricity production - solar power plats","Czechia","2014","2123"
"Gross electricity production - solar power plats","Czechia","2017","2193"
"Gross electricity production - solar power plats","Czechia","2018","2359"
"Gross electricity production - solar power plats","Czechia","2020","2287"
"Gross electricity production - solar power plats","Czechia","2019","2312"
"Gross electricity production - solar power plats","Czechia","2021","2250"
"Gross electricity production - solar power plats","Czechia","2022","2626.272"
"Gross electricity production - solar power plats","Czechia","2023","3210.432"
"Gross electricity production - nuclear power plants","Czechia","2010","27998"
"Gross electricity production - nuclear power plants","Czechia","2011","28283"
"Gross electricity production - nuclear power plants","Czechia","2013","30745"
"Gross electricity production - nuclear power plants","Czechia","2014","30325"
"Gross electricity production - nuclear power plants","Czechia","2012","30324"
"Gross electricity production - nuclear power plants","Czechia","2015","26841"
"Gross electricity production - nuclear power plants","Czechia","2018","29921"
"Gross electricity production - nuclear power plants","Czechia","2016","24104"
"Gross electricity production - nuclear power plants","Czechia","2017","28340"
"Gross electricity production - nuclear power plants","Czechia","2019","30246"
"Gross electricity production - nuclear power plants","Czechia","2020","30043"
"Gross electricity production - nuclear power plants","Czechia","2021","30731"
"Gross electricity production - nuclear power plants","Czechia","2022","31021.81"
"Gross electricity production - nuclear power plants","Czechia","2023","30410.464"
